timestamp,equity
2025-12-07 06:00:00+00:00,50.0
2025-12-07 06:05:00+00:00,50.0
2025-12-07 06:10:00+00:00,50.0
2025-12-07 06:15:00+00:00,50.0
2025-12-07 06:20:00+00:00,50.0
2025-12-07 06:25:00+00:00,50.0
2025-12-07 06:30:00+00:00,50.0
2025-12-07 06:35:00+00:00,50.0
2025-12-07 06:40:00+00:00,50.0
2025-12-07 06:45:00+00:00,50.0
2025-12-07 06:50:00+00:00,50.0
2025-12-07 06:55:00+00:00,50.0
2025-12-07 07:00:00+00:00,50.0
2025-12-07 07:05:00+00:00,50.0
2025-12-07 07:10:00+00:00,50.0
2025-12-07 07:15:00+00:00,50.0
2025-12-07 07:20:00+00:00,50.0
2025-12-07 07:25:00+00:00,50.0
2025-12-07 07:30:00+00:00,50.0
2025-12-07 07:35:00+00:00,50.0
2025-12-07 07:40:00+00:00,50.0
2025-12-07 07:45:00+00:00,50.0
2025-12-07 07:50:00+00:00,50.0
2025-12-07 07:55:00+00:00,50.0
2025-12-07 08:00:00+00:00,50.0
2025-12-07 08:05:00+00:00,50.0
2025-12-07 08:10:00+00:00,50.0
2025-12-07 08:15:00+00:00,50.0
2025-12-07 08:20:00+00:00,50.0
2025-12-07 08:25:00+00:00,50.0
2025-12-07 08:30:00+00:00,50.0
2025-12-07 08:35:00+00:00,50.0
2025-12-07 08:40:00+00:00,50.0
2025-12-07 08:45:00+00:00,50.0
2025-12-07 08:50:00+00:00,50.0
2025-12-07 08:55:00+00:00,50.0
2025-12-07 09:00:00+00:00,50.0
2025-12-07 09:05:00+00:00,50.0
2025-12-07 09:10:00+00:00,50.0
2025-12-07 09:15:00+00:00,50.0
2025-12-07 09:20:00+00:00,50.0
2025-12-07 09:25:00+00:00,50.0
2025-12-07 09:30:00+00:00,50.0
2025-12-07 09:35:00+00:00,50.0
2025-12-07 09:40:00+00:00,50.0
2025-12-07 09:45:00+00:00,50.0
2025-12-07 09:50:00+00:00,50.0
2025-12-07 09:55:00+00:00,50.0
2025-12-07 10:00:00+00:00,50.0
2025-12-07 10:05:00+00:00,50.0
2025-12-07 10:10:00+00:00,50.0
2025-12-07 10:15:00+00:00,50.0
2025-12-07 10:20:00+00:00,50.0
2025-12-07 10:25:00+00:00,50.0
